Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Latvian Academy of Sport Education,,,Higher Education Institute,332072,14/08/2018,Foreign academic staff,2 years 6 months,Published,9,Other,Other,,Not funded by an EU programme
Latvian Institute of Organic Synthesis,,OSM group,Higher Education Institute,594337,13/01/2021,Postdoc in organic chemistry,2 weeks 5 days,Expired,1,Chemistry › Organic chemistry,Temporary,,Not funded by an EU programme
Latvian Institute of Organic Synthesis,,OSM group,Higher Education Institute,257620,7/11/2017,PhD in chemistry (H2020 Marie Curie ETN early stage researcher),1 month 3 weeks,Expired,1,Chemistry,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Latvian Maritime academy,,,Higher Education Institute,416331,12/6/2019,Postdoctoral research grant competition,2 months 3 days,Expired,1,Engineering › Maritime engineering,Other,,Not funded by an EU programme
Latvian Maritime academy,,,Higher Education Institute,380946,18/02/2019,PhD,1 week 8 hours,Expired,2,"Engineering › Mechanical engineering, Engineering › Maritime engineering",Other,,Not funded by an EU programme
Latvian Maritime academy,,,Higher Education Institute,316218,16/06/2018,Foreign academic staff,2 years 8 months,Published,8,Engineering › Maritime engineering,Other,,Not funded by an EU programme
Latvijas Organiskas Sintezes Instituts,,,Public Research Institution,568222,15/10/2020,Postdoctoral position in confocal microscopy and histology,2 months 1 hour,Expired,1,Pharmacological sciences › Other,Temporary,GA # 857287,H2020
Latvijas Organiskas Sintezes Instituts,,,Public Research Institution,526569,27/05/2020,Principal Investigator - the Head of Preclinical biomaterial evaluation group,2 months 4 days,Expired,1,Medical sciences › Other,Temporary,857287,H2020
Latvijas Organiskas Sintezes Instituts,,,Public Research Institution,525209,20/05/2020,Post-doctoral student in structural biology,2 months 1 week,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Latvijas Organiskas Sintezes Instituts,,,Public Research Institution,525201,20/05/2020,Post-doctoral student in molecular biology,2 months 1 week,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Latvijas Organiskas Sintezes Instituts,,,Public Research Institution,419573,20/06/2019,Principal Investigator,2 months 1 week,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Liepaja University,,,Higher Education Institute,328303,28/07/2018,Doctoral Students and Scientific Degree Candidates,1 year 11 months,Expired,13,Other,Not Applicable,,Not funded by an EU programme
Liepaja University,,,Higher Education Institute,318536,25/06/2018,Academic Staff,2 years 8 months,Published,12,Other,Not Applicable,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,583530,3/12/2020,doctoral students / PhD candidates,1 month 1 day,Expired,1,Computer science,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,453402,10/10/2019,Doctoral students / PhD candidates in Finance Management and Finance Forecasting.,1 month 1 day,Expired,1,Other,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,435788,8/8/2019,Foreign Academic Staff,1 week 5 days,Expired,1,Engineering › Electrical engineering,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,414128,4/6/2019,Foreign Academic Staff,1 week 4 days,Expired,1,Language sciences › Languages,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,398075,9/4/2019,Doctoral Students and PhD Candidates,2 weeks 2 days,Expired,8,Other,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,398070,9/4/2019,Foreign Academic Staff,2 weeks 2 days,Expired,6,Other,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,380341,15/02/2019,Foreign Academic Staff,1 week 6 days,Expired,1,Educational sciences › Education,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,375551,31/01/2019,Doctoral students,1 month 1 day,Expired,4,Educational sciences › Education,Permanent,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,374634,28/01/2019,Foreign Academic Staff,1 month 1 day,Expired,3,Educational sciences › Education,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,363500,13/12/2018,Foreign Academic Staff,1 month 1 week,Expired,3,Other,Temporary,,Not funded by an EU programme
Rezekne Academy of Technologies,Inernational office,Foreign students department,Higher Education Institute,358076,23/11/2018,Foreign Academic Staff,3 weeks 5 days,Expired,1,Other,Temporary,,Not funded by an EU programme
Riga Graduate School of Law,,,Research Laboratory,600083,1/2/2021,Visiting Lecturer in “Interdisciplinary Research: Law and Politics”,2 weeks 5 days,Published,2,Juridical sciences › Other,Other,,Not funded by an EU programme
Riga Graduate School of Law,,,Research Laboratory,594408,13/01/2021,Rector,1 month 1 week,Published,1,Juridical sciences › International law,Permanent,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,510147,1/4/2020,Visiting Lecturer in EU Law,1 month 7 hours,Expired,1,Juridical sciences › European law,Temporary,,Not funded by an EU programme
Riga Graduate School of Law,,,Research Laboratory,508184,25/03/2020,Visiting Lecturer in Advanced Research Methods,1 month 21 hours,Expired,1,Other,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Research Laboratory,508183,25/03/2020,Visiting Lecturer in Risk Management,1 month 21 hours,Expired,1,Other,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,508181,25/03/2020,Visiting Lecturer in European Company Law,1 month 5 days,Expired,1,Juridical sciences › European law,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,508180,25/03/2020,Visiting Lecturer in Legal Research Methods,1 month 5 days,Expired,1,Juridical sciences › Other,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,508179,25/03/2020,Visiting Lecturer in Legal Philosophy,1 month 21 hours,Expired,1,Juridical sciences › Other,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,508091,25/03/2020,Visiting Lecturer in Legal English,1 month 6 days,Expired,1,Juridical sciences › Other,To be defined,,Not funded by an EU programme
Riga Graduate School of Law,,,Higher Education Institute,409859,20/05/2019,"Docent in Private Law with additional specialization in Private International Law or International Commercial Law or Comparative Contract Law, for election term of 6 years",1 year 9 months,Closed,1,"Juridical sciences › Private law, Physics",Permanent,,Not funded by an EU programme
Riga Graduate School of Law,,,Research Laboratory,374462,28/01/2019,Rector,1 month 5 days,Expired,1,Other,Other,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,598153,25/01/2021,PostDoc Group Leader – drug delivery systems for biomaterials,3 weeks 4 days,Published,1,Pharmacological sciences › Pharmacy,Temporary,,H2020
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,583523,3/12/2020,Lecturer (doctoral student),1 month 1 day,Expired,1,Medical sciences,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,582194,30/11/2020,Lecturer (doctoral student),1 month 9 hours,Expired,1,Medical sciences,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,570387,22/10/2020,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",1 month 1 week,Expired,1,Juridical sciences,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,529578,5/6/2020,Group Leader – drug delivery systems for biomaterials,1 month 3 weeks,Expired,1,"Medical sciences, Pharmacological sciences",Temporary,,H2020
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,510063,1/4/2020,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",1 month 3 days,Expired,1,Medical sciences › Medicine,Temporary,,Not funded by an EU programme
