id,customer_type,title,service_count,service_category,is_draft,is_bulk,bulk_from,bulk_to,country,organization,created,modified
156,Resident,Short enquiry,1,Funding opportunities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:03,7/10/2018 9:03
157,Support staff,Short enquiry,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:04,7/10/2018 9:04
158,Support staff,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:05,7/10/2018 9:05
158,Support staff,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:05,7/10/2018 9:05
159,Outgoing,Personalized assistance,1,Departure formalities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:09,7/10/2018 9:09
160,Outgoing,Personalized assistance,1,Departure formalities,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:09,12/5/2018 10:22
161,Outgoing,Personalized assistance,1,Departure formalities,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:10,12/5/2018 10:19
162,Outgoing,Personalized assistance,1,Departure formalities,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:15,12/5/2018 10:19
162,Outgoing,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:15,12/5/2018 10:19
162,Outgoing,Personalized assistance,1,Taxation/salaries,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:15,12/5/2018 10:19
162,Outgoing,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:15,12/5/2018 10:19
162,Outgoing,Personalized assistance,1,Work permits,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:15,12/5/2018 10:19
163,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:16,12/5/2018 10:18
